auteur,references
 H. Nicolai (AEI,[9608014]
 Potsdam),"[9608014, 9802158]"
F. Ghaboussi,"[9608016, 9609179, 9907005]"
J.D.Correia,[9608021]
J.F.Wheater,[9608021]
P.J. Hodges,[9608023]
 Daniel Kabat,"[9608024, 108006, 211124, 212246]"
 Philippe Pouliot,[9608024]
Stephen H.,[9608024]
Kazunobu Haga,[9608025]
 Hiroshi Igarashi,[9608025]
 Kiyoshi Okuyama,"[9608025, 9801062, 9805068, 9904096]"
Juan Carlos D'Olivo,[9608029]
 Manuel Torres,[9608029]
Eduardo Tututi,[9608029]
M. Bowick,[9608030]
 V. John,"[9608030, 9612247]"
G. Thorleifsson (Syracuse University),[9608030]
Kazunari Kaneko,[9608032]
 P.M. Petropoulos(CERN),[9608034]
J. Rizos(CERN    ,[9608034]
Hans-Christian Pauli (Max-Planck-Institut für Kernphysik,"[9608035, 9809005]"
D.Karczewska,[9608037]
 R.Manka,[9608037]
Andrew E. Chubykalo (EFUAZ,[9608038]
 Zacatecas),[9608038]
 Cumrun Vafa,"[9608039, 12041, 108064, 203213, 205297, 206017, 207106, 208048, 210238, 302011, 304271]"
 H. Igarashi,"[9608040, 9707229, 9802188, 9810189]"
Y. Takimoto (Ibaraki Univ.),"[9608040, 9707229, 9802188]"
J. Hwang,"[9608041, 203193, 206100]"
Heinrich Saller (Max-Planck-Institut fuer Physik),[9608042]
T. Heinzl (University of Regensburg),"[9608043, 9609055]"
John D. Barrow,"[9608045, 9608136, 9701085, 9710018, 9711049]"
 Kerstin E. Kunze,"[9608045, 9701085, 9710018]"
Marcelo M. Leite,"[9608049, 109037]"
Katsushi Ito (Univ. of Tsukuba),"[9608054, 9609104]"
Naoki Sasakura (Tohoku Univ.),"[9608054, 9609104]"
V. E. Korepin,"[9608064, 9801046]"
 Luca Consoli,[9608065]
V. Korepin,[9608066]
L.A. Abramyan(1),[9608069]
 V.I. Berezhiani(2),[9608069]
 A.P. Protogenov (1,[9608069]
2) ((1) IAP,[9608069]
K. Kirsten (Leipzig University),[9608070]
K. Kirsten (University of Leipzig),[9608071]
S.,"[9608071, 9706127, 9709010, 108135]"
P. Ramond,"[9608077, 9908208, 304265]"
 E.S. Fraga,[9608080]
B. Julia,"[9608082, 9712254, 9911035, 2035, 112065]"
G.W.Gibbons,"[9608085, 9809158, 9811045, 9906098, 9911167, 8052]"
P.Rychenkova,"[9608085, 9809158, 9811045]"
G.V. Grigoryan,[9608088]
 A. Mariottini,[9608091]
F. Ravanini (Bologna,[9608091]
Anastasia Volovich,"[9608095, 9710120, 9801166, 9803220, 9809009, 9905211, 4017, 101176, 106180, 204146, 303220]"
Karl Strobl,[9608098]
Kei-Ichi Kondo (Chiba/Oxford University),"[9608100, 9608133]"
H.Falomir,[9608101]
 R.E.Gamboa Saraví,[9608101]
 M.A.Muschietti,[9608101]
Horacio Alberto Falomir,[9608102]
 Ricardo Enrique Gamboa Saravi,[9608102]
 Mara,[9608102]
Azakov S.I,[9608103]
C. Rasinariu,"[9608107, 9704119]"
J.Grundberg,[9608112]
 U.Lindstrom,[9608112]
M.Rocek,[9608112]
K.Davis ( Rutgers University ),[9608113]
Edward P. Osipov (Department of Theoretical Physics,[9608115]
 Sobolev Institute,[9608115]
K.Becker,[9608116]
 M.Becker,[9608116]
 Y.Oz,[9608116]
Z.Yin,[9608116]
Olivier de Mirleau (University of Amsterdam),"[9608120, 9703061]"
Werner Krauth (LPSENS),[9608122]
Matthias Staudacher (CERN),[9608122]
R. Rodriguez,[9608123]
A.A. Kapustnikov,[9608124]
 A. Pashnev,"[9608124, 9707240, 9907224, 9912282, 1194, 1195, 4019, 101201, 103143]"
A. Pichugin,[9608124]
A.A. Johansen,[9608125]
 Arvind Rajaraman,"[9608126, 9611094, 9704112, 9905024, 10016, 212145]"
Hajime Oda,[9608128]
 M. Ronen Plesser,[9608129]
A.Yu. Kamenshchik,"[9608130, 9806202]"
S.L. Lyakhovich (International Centre for,[9608130]
Christine Unkmeir (ITP,[9608131]
Edson Stedile,[9608134]
Rogerio Duarte,[9608134]
N. Evans,"[9608135, 6048, 203203]"
 S.D.H. Hsu,[9608135]
M. Schwetz (Yale University),[9608135]
Mariusz P. Dabrowski,"[9608136, 9610243, 9701035, 9706020, 9711049, 9809176, 9911217, 102065, 201180]"
C.M.Naon,[9608138]
M.L.Trobo (Universidad Nacional de,[9608138]
M.Yurova,"[9608140, 9610222]"
Frank Antonsen,"[9608141, 9701181, 9701182, 9702009]"
 Karsten Bormann,"[9608141, 9701181, 9702009]"
Karsten Bormann,[9608142]
 Frank Antonsen,[9608142]
Klaus Sibold,"[9608143, 9703221, 9804053]"
M.Khorrami(IPM,[9608144]
Tehran,[9608144]
Iran),[9608144]
George Khimshiashvili,[9608146]
 Alexander Ushveridze,"[9608146, 9708058, 9708059, 9806192]"
S. Chaturvedi,"[9608150, 9608153, 9807081]"
V. Srinivasan,"[9608150, 9608153]"
J. Merkel (MPI Kernphysik,[9608152]
 Heidelberg,"[9608152, 9706036, 9706053, 9706055]"
V. P. Nair (City College of New York),[9608156]
A.N. Sissakian,"[9608159, 9610072, 9612140, 9702032]"
 O.Yu. Shevchenko,"[9608159, 9612140, 9702032, 204010]"
S.B. Solganik,"[9608159, 9612140, 9702032]"
Rainer Haeussling,[9608160]
 Elisabeth Kraus,[9608160]
 Arundhati Dasgupta,"[9608162, 9702075, 9707124, 9801194, 9907116]"
Duiliu-Emanuel Diaconescu (Rutgers University),[9608163]
Zachary Guralnik (Princeton University),[9608165]
A.S. Sorin,"[9608166, 9611108]"
M.M. Sheikh Jabbari,[9608167]
Akira Kokado,"[9608168, 9705195, 9190, 103226, 110094, 208040]"
 Gaku Konisi,"[9608168, 9705195, 9190, 103226, 110094]"
Arundhati Dasgupta,"[9608170, 9808086, 3280, 201182, 202018]"
 Parthasarathi Majumdar,"[9608170, 9707124, 109135]"
P.M. Cowdall,"[9608173, 9801165, 9016]"
Andrew Waldron,"[9608174, 9809070, 9901016, 112182]"
Jonathan Bagger,"[9608177, 9703202, 9707061, 9810109, 9905121, 9908084, 9911029, 3282, 12163, 107128, 107260, 108010, 206024]"
 Alexander Galperin,"[9608177, 9707061]"
J. Antonio García,"[9608178, 9610067, 9803222, 11085, 12094]"
S.I. Zlatev,[9608179]
 C. Hu,[9608181]
 S. Leupold,"[9608181, 9708079]"
 S. Matinyan,[9608181]
 B. Muller (Duke University),[9608181]
T. Padmanabhan,"[9608182, 9703034, 9801015, 9801138, 9812018, 11159, 205055, 212290]"
J.S. Dowker,"[9608189, 9806168]"
 Annecy),[9608190]
M. Loewe,"[9608192, 9811046, 9911151, 8251]"
A. Aste,[9608193]
G. Scharf,[9608193]
Jan Bischoff,"[9608196, 9612218]"
L.F. Urrutia (Universidad Autonoma Metropolitana-I,"[9609001, 9609010]"
 Universidad,"[9609001, 9609010]"
 R. S. Dunne,[9609002]
 A. J. Macfarlane,"[9609002, 9711064, 9810212, 6118]"
J. C. Pérez,[9609002]
P. Kanti,"[9609003, 9703192]"
K. Davis,[9609005]
I.Ya. Arefeva,[9609007]
A.P. Zubarev,[9609007]
B. Durhuus (Mathematics Institute,[9609008]
 University of Copenhagen),[9609008]
C.,"[9609008, 9610164, 104152]"
G. Alexanian,"[9609011, 10187]"
V.P. Nair (Physics Dept.,[9609011]
Ken-ichi Ishikawa,[9609018]
Kenji Fukazawa,[9609018]
Kezuhiro,[9609018]
Martin Joerss,[9609020]
K. Konishi (Univ. of Genova),[9609021]
A.N. Leznov (Institute for High Energy Physics,"[9609024, 9612107]"
 Protvino,"[9609024, 9612107, 9902085]"
 Russia),"[9609024, 9609168, 9609229, 9612211, 9703097, 9703169, 9707253, 9710038, 9710143, 9801148, 9807204, 9901082, 9901083, 9901097, 9909181, 9910101, 9910214, 10260, 101230, 105275, 109023, 110127, 112142, 211224, 211227, 212213, 302004]"
M. Hotta,[9609028]
 H. Inoue,[9609028]
 I. Joichi,[9609028]
M. Tanaka,"[9609028, 9701063]"
 V. I. Yasnov,[9609030]
 M. V. Saveliev,"[9609031, 9612081]"
Khaled Abdel-Khalek (Lecce Univ.),[9609032]
Khaled Abdel-Khalek (Lecce),"[9609033, 2155]"
A.V. Barabanschikov,[9609034]
 S.F. Prokushkin,[9609034]
Jens Gladikowski,[9609035]
Meik Hellmund,[9609035]
S. Balaska,"[9609036, 9703161, 9707213]"
 J. Maeder,"[9609036, 9703161, 9707213]"
 W. Ruehl,"[9609036, 9707213, 6165, 12153, 211092]"
I.A. Batalin,"[9609037, 9703199, 9708140, 9810235, 101089, 301085]"
 K. Bering,"[9609037, 9610083, 9703199, 9708140, 9810235]"
K. Nakagawa,"[9609039, 9708161]"
Daniel F. Litim,"[9609040, 9809020, 9809023, 9901063, 5245, 103195, 104221, 107020, 111159, 111191, 202188, 203005, 203006, 208117, 208216]"
 I. M. Krichever,"[9609041, 9609145, 9610156, 9904028, 9905168]"
P. Maraner (Univ. of Parma,[9609042]
Eric Braaten,[9609047]
Agustin Nieto (Ohio State University),[9609047]
Igor Kulikov,[9609050]
Y. Meurice,"[9609057, 103134, 208181]"
 S. Niermann,[9609057]
G. Ordaz (Dept. of Phys.,[9609057]
Astr.,[9609057]
 Yeou-Wei Yang (National Cheng Kung,[9609058]
Karl Landsteiner,"[9609059, 9705199, 9708118, 9801002, 9805158, 9901143, 6210, 11003, 104133]"
 John M. Pierre,[9609059]
H. R. Karadayi,[9609060]
M. Gungormez,[9609060]
Hugo R. Christiansen (CBPF,[9609061]
Fidel A.,[9609061]
 Kristin Foerger,"[9609062, 9610049, 9611184]"
 Stefan Theisen,"[9609062, 9803135, 9901134, 102007, 203080, 203165]"
L. Hua,[9609064]
Takahiro Masuda,"[9609065, 9609066, 9612240, 9705166, 105271, 209082]"
Hisao Suzuki (Hokkaido University),"[9609065, 9609066, 9705166]"
Takanori Sugihara (Kyushu university),[9609067]
Masanobu Yahiro (National,[9609067]
P. Mejean,[9609068]
Andras Kaiser,"[9609072, 9708087]"
E. Halyo,[9609075]
 B. Kol,"[9609075, 9909028]"
 A. Rajaraman,"[9609075, 9703102, 9710174]"
R. Güven,[9609078]
E. Yörük,[9609078]
 Eric D'Hoker,"[9609079, 9609221]"
A. Konechny,"[9609081, 9805046, 9901077, 9907008, 9912185, 5174, 12145, 107251, 210169]"
B. Hunt,[9609082]
 M. Lynker,"[9609082, 9703182]"
 R. Schimmrigk,"[9609082, 9703182]"
Ergin Sezgin,"[9609086, 9703075, 9703123]"
E.A. Ivanov,"[9609090, 9710236, 110074, 202203, 303192]"
Gaetano Lambiase,[9609091]
C. Syros (University of Patras),[9609093]
 C. Schulz-Mirbach (TU,[9609093]
V. de la Incera (SUNY at Fredonia),"[9609096, 9609097]"
Oren Bergman (Florida,[9609098]
 Brandeis),[9609098]
Alexander Kusenko,"[9609100, 9801041]"
Ingemar Bengtsson,[9609102]
Astri Kleppe,[9609102]
M.J. de la Plata,[9609103]
M. Ciafaloni,[9609105]
 Alexey Maznytsia,"[9609107, 9711007]"
 Igor Rudychev,[9609107]
R.J. Henderson,[9609109]
Fuad Saradzhev (Inst.Phys.,"[9609110, 9910034]"
Baku),"[9609110, 9910034]"
JM Figueroa-O'Farrill,"[9609113, 9704009, 9705161, 9710082, 9710168, 9806040, 9902066, 9904124, 9909164, 9910086, 1199]"
 A. Mukherjee,"[9609116, 9703176, 9712242, 9803089, 9809010, 9905170, 9906117]"
 H. Sazdjian,"[9609117, 9704048]"
H.T. Ozer,"[9609120, 102203, 210180]"
Holger Gies,"[9609121, 107221]"
G. P. Korchemsky,"[9609123, 304028]"
H. Lu. C.N. Pope,[9609126]
Christopher Ford (Jena),[9609127]
D. J. Broadhurst,"[9609128, 9611004, 9612011, 9612012, 9612013, 9803091, 9805025, 9806174, 9909185, 9912093, 1202]"
C. Wiesendanger,[9609129]
 F.G. Scholtz,[9609131]
A.N. Theron,[9609131]
J.R. Reyes Martínez,[9609135]
S. Deser (Brandeis University),"[9609138, 9701157, 9712064, 9803049, 9803106, 9805205, 9901125, 9906178]"
S. A. Pernice,[9609139]
 G. Oleaga,[9609139]
 Sergei M. Kuzenko,"[9609141, 9611193, 9706169, 9710142]"
Alexander G. Sibiryakov,"[9609141, 9611193]"
C. J. Burden (Department of Theoretical Physics,[9609150]
Y. Arakane,"[9609151, 3069]"
 H. Kunitomo,[9609151]
A. Tokura,"[9609151, 9708123, 9801084]"
Giovanni Felder (D-MATH,[9609153]
 ETH Zuerich),[9609153]
B.M. McCoy,"[9609160, 9808013]"
V. B. Kopeliovich (INR,[9609168]
Barbashov B.M. (JINR,[9609171]
Suemi Rodriguez-Romo,[9609172]
Nobuyuki Ishibashi (KEK),"[9609173, 9804163, 5152]"
 P. H. Damgaard,"[9609174, 9712006, 9803007]"
 U. Magnea,"[9609174, 9712006]"
Tomasz Rog,[9609175]
H. Ahmedov,"[9609177, 207186]"
Jutta Kunz (Universität Oldenburg),"[9609180, 9612101]"
Miguel S. Costa (D.A.M.T.P./ University of Cambridge),"[9609181, 9610138, 9807185]"
Stephane Gourmelen,"[9609182, 9812151]"
Martin Schmaltz (Boston University),"[9609183, 9805218]"
Yukitaka Ishimoto,"[9609184, 103064]"
Tadashi Miyazaki,[9609186]
Masanobu Nojiri,[9609187]
 Takashi Matsunaga,[9609187]
 Chié Ohzeki,[9609187]
D. Vautherin,[9609188]
T. Matsui,[9609188]
Walter Dittrich,"[9609189, 9609197]"
 Holger Gies (Univ. Tuebingen,"[9609189, 9609197]"
C. M. Bender (Washington U.),[9609193]
 G. Dunne (U. Connecticut),[9609193]
M. Moshe,[9609193]
H. Falomir,"[9609194, 9612155, 8251, 103050, 107023, 203260]"
 R. E. Gamboa Saraví,[9609194]
Carl E. Carlson (William,[9609195]
Mary),[9609195]
 Carmen Molina–Paris (Los Alamos),[9609195]
Z. Horváth,[9609198]
 R.L. Karp,[9609198]
Mikhail S. Volkov,"[9609200, 9704026, 9707176, 9711181, 9810070, 9904174, 9910116, 2006, 3081, 101202, 103038, 108205, 204021, 205157, 302032]"
J. C. Le Guillou,"[9609202, 9707210]"
 E. Moreno,"[9609202, 9703048]"
 C. Nunez,"[9609202, 9707210, 9807209]"
 M. J. Slupinski,"[9609203, 205113]"
 David A. Lowe,"[9609204, 9612062, 9805158, 9906047, 108006, 211201]"
Alberto S. Cattaneo (Harvard University),[9609205]
 E. Langmann,[9609206]
 E. Raschhofer,[9609206]
G.H. Gadiyar,"[9609208, 9806061]"
Masafumi Fukuma,"[9609210, 9610199, 9902169, 9907132, 9912010, 7062, 103187, 112037, 204257, 212314, 304012]"
J.N. Pecina-Cruz,[9609213]
M. Passare,[9609215]
 A.K. Tsikh,[9609215]
 A.A. Cheshel,[9609215]
Shimon Levit (Weizmann Institute),[9609216]
P.C.R. Cardoso de Mello,[9609218]
 S. Carneiro,[9609218]
I. Joichi,[9609223]
 Sh. Matsumoto,[9609223]
M. Yoshimura,[9609223]
 Makoto Hiramoto,[9609224]
Hidenori Takahashi,"[9609224, 9706061, 206081]"
R. Zhdanov,[9609227]
Yu.R. Musin (Moscow Aviation Institute,[9609229]
Nobuhito Maru,"[9609230, 9705152, 9710029, 9801187, 9903199, 9023, 105202, 107204, 109087, 112244]"
Shinsaku Kitakado,[9609230]
E.C. Marino,"[9609231, 9707100, 107109, 205289]"
P. Bowcock (Durham University),[9609233]
Marika Taylor-Robinson (DAMTP,"[9609234, 9704172, 9806132, 9809040, 9809041, 1177, 2125, 103162]"
Jeeva Anandan,"[9609235, 9706181]"
J. Ellis. N. Mavromatos,[9609238]
 Albrecht Klemm,"[9609239, 9712035, 9910181, 105045, 106155, 211098]"
 M. Krüger,[9609240]
 J. Rant,"[9609240, 9611070, 9904185, 9909166, 2234]"
 D. Zanon,"[9610001, 9706013, 9801102, 6067, 201103]"
Norma Mankoc Borstnik,"[9610004, 9707218, 9909169]"
 J.L. López,[9610006]
 Richard Mohr,[9610007]
J. Feinberg,"[9610009, 9610054, 9908149]"
 A. Zee (ITP,"[9610009, 9610054]"
 UC Santa-Barbara),"[9610009, 9610054, 9706012]"
Lara De Nardo,"[9610011, 9703125]"
 Dmitri V. Fursaev,"[9610011, 9703125]"
Tonatiuh Matos (Ifm,[9610013]
 UMSNH),[9610013]
Cesar Mora (CNVESTAV-IPN),[9610013]
Kazuyuki Furuuchi,"[9610016, 9902122, 5199, 10119, 107101]"
 Toshio Nakatsu,[9610016]
Jonathan A. Bagger,"[9610022, 9809171]"
Thomas Branson,"[9610023, 109181, 109188, 109210, 110014, 111003]"
 R.P. Lano,[9610023]
Oliver Schnetz,"[9610025, 9912149]"
 M. Matone,"[9610026, 3131, 3200]"
Jose Alexandre Nogueira (Universidade Federal do Espirito Santo,[9610027]
Yuri Kubyshin (UAM Madrid;,[9610032]
MSU Moscow),[9610032]
S.P. Brumby,"[9610033, 9610210]"
G.C. Joshi (Melbourne Uni.),"[9610033, 9610210]"
D.R.Karakhanyan,[9610034]
M.V. Libanov,[9610036]
 W. Fischler,"[9610043, 9712236, 7186, 111142, 210160, 212113]"
Prem P. Srivastava (Inst. Fisica,"[9610044, 9610149]"
 UERJ-Univ. do Estado de Rio de,"[9610044, 9610149]"
Per Kraus (Cal Tech),[9610045]
Masaomi Kimura,[9610047]
Samwel Apikyan,[9610051]
 Costas Efthimiou,[9610051]
J. Jurkiewicz,[9610052]
O. Jahn,"[9610056, 9803177]"
 T. Kraus,[9610056]
M. Seeger (Institut fuer Theoretische Physik,[9610056]
A.N. Varchenko,[9610058]
S.M.Gusein-Zade,[9610058]
Elcio Abdalla,"[9610059, 9803161, 9910185, 9911005, 9911157, 3295, 5043, 7028, 12101, 101133, 109024, 109129, 204030, 205203, 208008, 209101, 212205, 304248]"
Roya Mohayaee,"[9610059, 9705243]"
F. Vendrell (University of Lausanne,[9610061]
 Alexandros A. Kehagias,"[9610062, 9611060]"
Stefan Schwager,"[9610062, 9611060, 9704013]"
A.L. Larsen (University of Alberta,[9610063]
Anton Yu. Alekseev,"[9610066, 104054, 205123]"
 Andreas Recknagel,"[9610066, 104054]"
 Volker Schomerus,"[9610066, 9903139, 7096, 12164, 108126, 111189]"
Josep M. Pons,"[9610067, 9803222]"
Edi Halyo (Stanford),"[9610068, 9611175]"
Y. Hashimoto,[9610069]
 Y. Yasui,[9610069]
 S. Miyagi,[9610069]
T. Otsuka,[9610069]
C.Mukku (Dept. of Math,[9610071]
Univ.of Hyderabad),[9610071]
 M.S.Sriram,[9610071]
S. Boldyrev,"[9610080, 9707255, 9805100]"
A. M. Semikhatov (Humboldt-U Berlin,[9610084]
P N Lebedev Physics Institute),[9610084]
Ken D. Olum,"[9610086, 9709041, 9709169, 211244]"
Domingo Louis-Martinez (University of British Columbia),"[9610088, 9611031]"
Yi-Yen Wu (UC Berkeley,"[9610089, 9706040]"
Lawrence Berkeley National Laboratory),[9610089]
Mauro Zeni,"[9610090, 9611015, 9702035, 9703152]"
L. Dolan (UNC Chapel Hill),[9610091]
Robert Weston,"[9610094, 9706086, 9804063]"
A. Bialas (Jagellonian University Krakow,[9610095]
A. Opfermann,"[9610099, 9709048, 9807227]"
Richard C. Brower (BU/MIT),[9610101]
 Kostas N. Orginos,[9610101]
Chung-I Tan (Brown,[9610101]
Jan Troost,"[9610102, 9610103, 2180, 10289, 103168, 107153, 112109, 202129, 206118, 209195, 212089, 304211]"
E.J.Beggs,"[9610104, 9803248]"
 P.R.Johnson (Swansea),[9610104]
 G. Lopes Cardoso,"[9610105, 9704095]"
 D. Lüst,"[9610105, 207117]"
 T.,[9610105]
 S.-H. Henry Tye,"[9610106, 9701057, 9710149, 4126, 12129, 105293, 110070, 207119, 303269, 304188]"
Christian Schubert (Humboldt University Berlin),[9610108]
Carlos Contreras,[9610109]
Lautaro Vergara,[9610109]
Miguel S. Costa,"[9610112, 9703204, 9712026, 9712160, 9909148]"
Malcolm J. Perry (D.A.M.T.P./ University of,"[9610112, 9712026, 9712160]"
Richard Battye,"[9610113, 9702089, 9709221, 9811077, 3252, 103026, 201101, 210147, 212106]"
Robert Coquereaux (1,[9610114]
2) ((1) Instituto Balseiro,[9610114]
 Centro Atomico de,[9610114]
 J. Burzlaff,"[9610118, 109034]"
 H.J.W. Mueller-Kirsten,"[9610118, 9611146, 9612106, 9901084]"
Justin R. David,"[9610120, 9707132, 9808168, 9904068, 9906112, 9907075, 9911003, 2202, 5085, 7235, 12089, 105184, 107165, 111212, 203048, 303013, 304227]"
 Avinash Dhar,"[9610120, 9707132]"
M.V. Manias,[9610123]
 C.M. Naon,[9610123]
M.L. Trobo,[9610123]
Gilad Lifschytz (Princeton University),"[9610125, 9612223, 9703201, 9803191]"
Alexander Migdal (Princeton University),[9610126]
F. Nesti (SISSA,[9610127]
Dirk Kreimer (Mainz Univ.),[9610128]
Krzysztof A. Meissner (CERN),[9610131]
T. DeGrand (U. of Colorado),[9610132]
Lawrence M. Krauss(1),[9610135]
 Hong Liu (1),[9610135]
Junseong Heo(2) ((1) Case,[9610135]
M. Adler,[9610137]
 T. Shiota,[9610137]
P. van Moerbeke,[9610137]
Csaba Csaki (MIT),"[9610139, 9612207, 9701191]"
 Martin Schmaltz (Boston U.),"[9610139, 9612207, 9701191]"
Harry Braden,[9610141]
Christophe Fraser,"[9610142, 9704011, 9710098]"
K. Sailer (Kossuth Lajos University,[9610143]
 Debrecen),[9610143]
W. Greiner (Goethe,[9610143]
 M. Caselle,"[9610144, 9701145, 9901053, 1076]"
B.Rusakov (Oxford University),"[9610147, 9703142]"
Alan Chodos (Yale University),[9610150]
 Hisakazu Minakata (Tokyo Metropolitan,[9610150]
 M. Kreuzer,"[9610154, 9703003]"
 Gary W. Gibbons,"[9610155, 9702103, 9912049, 1024, 4136]"
L. V. Avdeev,[9610158]
 D. I. Kazakov,"[9610158, 9705191]"
J. A. Nieto,"[9610160, 9807107, 9910049, 5117, 5184, 8014, 107038, 110227, 212100, 302193, 303123]"
J. Socorro,"[9610160, 9807058, 9807083, 9807147]"
V.I. Fernandez,[9610161]
C.M. Naon,[9610161]
Jose Daniel Edelstein,[9610163]
Kazuo Fujikawa(Univ. of Tokyo),[9610164]
 Harunobu Kubo(Univ. of Yokyo),[9610164]
 Ron-Jou Hsieh,[9610165]
 Chilong Lin (National Cheng Kung,[9610165]
R. Poppe,[9610166]
 S. Schwager,[9610166]
C.G. Callan,"[9610172, 9803097]"
 S.S. Gubser,"[9610172, 9904017, 9905111, 9906194, 9909121, 9909134]"
 I. Schmidt,"[9610173, 9704078, 9809051, 9903047]"
 L. Vergara,[9610173]
C. Fabre (Ecole Polytechnique,[9610174]
 CPT),[9610174]
I.D. Lawrie,[9610175]
D.B. McKernan,[9610175]
Choon-Lin Ho (Dept. of Physics,"[9610177, 9610178, 9610239]"
 Tamkang University,"[9610177, 9610178, 9610239]"
 Taiwan),"[9610177, 9610178, 9610239, 9908117, 103083, 104258, 107105]"
Massimo Giovannini (DAMTP,"[9610179, 9712122]"
 Cambridge (UK),[9610179]
Departamento de Fisica,[9610179]
Amir H. Fatollahi,"[9610181, 9711109, 9806201, 9907146, 9910062, 2021, 5241, 7023, 103262, 104210, 108198]"
Oliver Bärwald (Hamburg University),[9610182]
 Reinhold W. Gebert (IAS,"[9610182, 9705144]"
Y.S. Kim,[9610183]
Mariano Santander,[9610184]
Francisco J. Herranz,[9610184]
L. Martin,[9610185]
 D. G. C. McKeon,"[9610185, 9812213, 204192, 209151]"
K.S. Viswanathan (Physics Department,[9610186]
 Simon,[9610186]
 Hiroaki Kanno,"[9610187, 9704010]"
 Tatsuya Ueno,"[9610187, 9704010, 9710079, 11076, 103105]"
 Chuan-Sheng Xiong,"[9610187, 9807183]"
Nadja Kutz,[9610188]
I. T. Drummond,[9610189]
 R. R. Horgan,[9610189]
 P. V. Landshoff,[9610189]
Martin Reuter,"[9610191, 12069]"
Hilary Booth,[9610194]
 Chris Radford (University of New England,[9610194]
Ilka Brunner,"[9610195, 9705022, 9707259, 9712142, 9712143, 9801017, 9801154, 9801156, 9905024, 9905078, 9906200, 1132, 8194, 102018, 106262, 110219, 208141, 303135]"
 Monika Lynker,[9610195]
Gernot Münster (University of Münster),"[9610197, 9802006]"
 Harald Grießhammer and,[9610197]
 M.S. Causo,[9610200]
 G. Profilo,[9610200]
 G.Soliani,[9610200]
 Ludmil K. Hadjiivanov,[9610202]
Ivan T. Todorov,"[9610202, 9612078, 9004, 9229]"
J. R. S. Nascimento,[9610203]
Andrei Shuvaev,[9610206]
J. Wosiek,"[9610208, 9611025, 204243]"
R. E. Janik (Jagellonian University),[9610208]
Kazuya Yuasa,"[9610209, 9910032]"
Hiromichi Nakazato (Dept. of Phys.,[9610209]
 Waseda Univ.,[9610209]
 B.E. Hanlon,[9610210]
Yuhsuke Yoshida,"[9610211, 9707258, 9711117, 9711177, 9807104, 9903240, 9043]"
K. Langfeld,"[9610213, 209173]"
 H. Reinhardt,"[9610213, 9810088, 7229, 304134]"
 M. Quandt,"[9610213, 9911145, 103010, 207120, 207205]"
V. E. Markushin (Paul Scherrer Institute,[9610214]
G.C. Nayak,[9610215]
 V. Ravishankar (Dept. of physics Indian Institute of,[9610215]
P.Mathieu (Université Laval),[9610217]
Luis Alvarez-Consul,[9610218]
Masato Arai,"[9610219, 9904214, 103157, 103174, 211103, 212175, 302028]"
 Hisakazu Minakata,"[9610219, 6092]"
L.C.Q.Vilar,"[9610220, 9706133]"
 C.A.G.Sasaki,[9610220]
E.V. Ivashkevich,[9610221]
 Jean Zinn Justin,[9610223]
Carl Rosenzweig,[9610227]
 M. Koike,[9610228]
Jerzy Lukierski (Institute for Theoretical Physics,"[9610230, 203182]"
Bjørn Jensen,"[9610231, 9612213, 9702044]"
Sergei G. Matinyan,[9610233]
Berndt Müller,[9610233]
Stephan Dürr,"[9610241, 9805124, 9094]"
Arne. L. Larsen,[9610243]
M. Bando,[9610244]
 Y. Taniguchi,[9610244]
S. Tanimura,[9610244]
Gabor Etesi,"[9610245, 9705206, 9905010, 3239]"
M. Gomes,"[9610247, 9611027, 9710025, 9711184, 9801192, 9809062, 9908181, 4168]"
 J. M. C. Malbouisson,"[9610247, 9611027, 9801192]"
A. J. da Silva,"[9610247, 9611027, 9703200, 9710025, 9711184, 9801192, 9808027, 9809062, 9809177, 9810106, 9904139, 9904154, 9908181, 1221, 4168, 5258, 5272, 101142, 102101, 301124]"
 Norma Quiroz-Perez,[9610248]
Mina Aganagic,"[9610249, 9612080, 9701166, 9702133, 9712011, 9903093, 9910184, 9142, 12041, 105045, 105075, 105225, 110171, 206164, 209138, 211098, 304271]"
 Costin Popescu,"[9610249, 9612080, 9701166, 9702133, 9901048]"
 Nathan Seiberg,"[9610251, 9612157, 9703052, 6062, 108100, 108187, 211170, 301006, 303207]"
O. M. Del Cima,"[9611001, 9611002, 9806137]"
 D. H. T. Franco,"[9611001, 9611002]"
 J. A. Helayël-Neto,"[9611001, 9611002, 204057]"
J. M. Borwein,"[9611004, 4153]"
 D. M. Bradley,[9611004]
H. Babujian,"[9611005, 9611006, 9805185, 9909153, 102209, 105178, 110261, 204097, 301088]"
 M. Karowski,"[9611005, 9611006, 9805185, 110261]"
 A. Alimohammadi,[9611009]
Taekoon Lee,[9611010]
M. Trigiante,"[9611014, 9707087, 9801144, 9904165, 12201]"
Robert G. Leigh (Univ. Illinois),[9611020]
Matthew J. Strassler (Inst. for,[9611020]
M. Tsulaia,"[9611022, 9703010, 9803207, 1194, 1195, 4019, 11090, 101201, 103143, 106257, 109067, 206026]"
P.Di Vecchia,[9611023]
R. A. Janik (Jagellonian University),[9611025]
I.Aref'eva,[9611026]
A.Volovich,[9611026]
A.P.C. Malbouisson,"[9611030, 9909175, 107230, 205159]"
 B.F. Svaiter,[9611030]
